Date,Pair,Open,High,Low,Close
5/1/2012 0:00,GBPUSD,1.62357,1.62464,1.61859,1.62198
5/2/2012 0:00,GBPUSD,1.62197,1.62378,1.616,1.6197
5/3/2012 0:00,GBPUSD,1.6197,1.62145,1.61606,1.6179
5/4/2012 0:00,GBPUSD,1.6179,1.62005,1.61408,1.6147
5/7/2012 0:00,GBPUSD,1.61501,1.61963,1.6113,1.61936
5/8/2012 0:00,GBPUSD,1.61936,1.61975,1.61238,1.61526
5/9/2012 0:00,GBPUSD,1.61529,1.6158,1.60681,1.6131
5/10/2012 0:00,GBPUSD,1.61308,1.61813,1.60911,1.61307
5/11/2012 0:00,GBPUSD,1.61306,1.61419,1.60611,1.60656
5/14/2012 0:00,GBPUSD,1.60656,1.61219,1.60508,1.6097
5/15/2012 0:00,GBPUSD,1.60969,1.6113,1.59882,1.59974
5/16/2012 0:00,GBPUSD,1.59973,1.59977,1.58889,1.59111
5/17/2012 0:00,GBPUSD,1.59109,1.59318,1.57805,1.5781
5/18/2012 0:00,GBPUSD,1.57811,1.58365,1.57322,1.58146
5/21/2012 0:00,GBPUSD,1.58104,1.58401,1.57787,1.58217
5/22/2012 0:00,GBPUSD,1.58217,1.58474,1.57402,1.57634
5/23/2012 0:00,GBPUSD,1.57635,1.57706,1.56749,1.56908
5/24/2012 0:00,GBPUSD,1.56909,1.57254,1.56382,1.56676
5/25/2012 0:00,GBPUSD,1.56677,1.56986,1.56298,1.56641
5/28/2012 0:00,GBPUSD,1.5679,1.57161,1.5671,1.56765
5/29/2012 0:00,GBPUSD,1.56765,1.57153,1.56074,1.56329
5/30/2012 0:00,GBPUSD,1.5633,1.56368,1.54736,1.54816
5/31/2012 0:00,GBPUSD,1.54817,1.55256,1.53597,1.54027
6/1/2012 0:00,GBPUSD,1.54026,1.54356,1.52677,1.53591
6/4/2012 0:00,GBPUSD,1.53722,1.54142,1.53411,1.53822
6/5/2012 0:00,GBPUSD,1.53824,1.54069,1.53213,1.53752
6/6/2012 0:00,GBPUSD,1.53751,1.55144,1.53726,1.54887
6/7/2012 0:00,GBPUSD,1.54886,1.55999,1.54297,1.55324
6/8/2012 0:00,GBPUSD,1.55323,1.5536,1.54032,1.54682
6/11/2012 0:00,GBPUSD,1.55203,1.55807,1.54707,1.54709
6/12/2012 0:00,GBPUSD,1.5471,1.55891,1.54537,1.55678
6/13/2012 0:00,GBPUSD,1.55675,1.55972,1.55032,1.55093
6/14/2012 0:00,GBPUSD,1.55094,1.55634,1.54719,1.55516
6/15/2012 0:00,GBPUSD,1.55515,1.57263,1.54759,1.57111
6/18/2012 0:00,GBPUSD,1.5737,1.57374,1.56361,1.56643
6/19/2012 0:00,GBPUSD,1.56642,1.57562,1.56145,1.57237
6/20/2012 0:00,GBPUSD,1.57237,1.57764,1.56508,1.57071
6/21/2012 0:00,GBPUSD,1.57068,1.57322,1.55772,1.55961
6/22/2012 0:00,GBPUSD,1.55958,1.56335,1.55563,1.55825
6/25/2012 0:00,GBPUSD,1.55831,1.55941,1.55382,1.55706
6/26/2012 0:00,GBPUSD,1.55706,1.56496,1.55626,1.5634
6/27/2012 0:00,GBPUSD,1.56342,1.56396,1.55451,1.55654
6/28/2012 0:00,GBPUSD,1.55655,1.56226,1.54843,1.55147
6/29/2012 0:00,GBPUSD,1.5515,1.57143,1.55087,1.5704
7/2/2012 0:00,GBPUSD,1.56956,1.57207,1.56409,1.56919
7/3/2012 0:00,GBPUSD,1.56914,1.57124,1.56576,1.5686
7/4/2012 0:00,GBPUSD,1.56861,1.56892,1.55737,1.55937
7/5/2012 0:00,GBPUSD,1.55939,1.56218,1.54991,1.5521
7/6/2012 0:00,GBPUSD,1.55211,1.555,1.54605,1.54887
7/9/2012 0:00,GBPUSD,1.54758,1.55334,1.54697,1.5524
7/10/2012 0:00,GBPUSD,1.5524,1.55476,1.54776,1.55161
7/11/2012 0:00,GBPUSD,1.55162,1.55771,1.54856,1.55042
7/12/2012 0:00,GBPUSD,1.55049,1.55155,1.53927,1.54304
7/13/2012 0:00,GBPUSD,1.54304,1.55797,1.54136,1.55741
7/16/2012 0:00,GBPUSD,1.55812,1.56531,1.55164,1.56318
7/17/2012 0:00,GBPUSD,1.56319,1.56771,1.55529,1.5644
7/18/2012 0:00,GBPUSD,1.56439,1.56665,1.55807,1.56527
7/19/2012 0:00,GBPUSD,1.56528,1.57351,1.56357,1.57172
7/20/2012 0:00,GBPUSD,1.57173,1.57216,1.56108,1.56195
7/23/2012 0:00,GBPUSD,1.56049,1.56149,1.54843,1.55015
7/24/2012 0:00,GBPUSD,1.55012,1.55507,1.5486,1.55038
7/25/2012 0:00,GBPUSD,1.55037,1.55509,1.54581,1.54933
7/26/2012 0:00,GBPUSD,1.54935,1.57226,1.54697,1.56841
7/27/2012 0:00,GBPUSD,1.56843,1.57668,1.56657,1.57439
7/30/2012 0:00,GBPUSD,1.57331,1.57395,1.56706,1.57014
7/31/2012 0:00,GBPUSD,1.57015,1.5729,1.56248,1.5673
8/1/2012 0:00,GBPUSD,1.5673,1.56895,1.55295,1.5537
8/2/2012 0:00,GBPUSD,1.55371,1.56777,1.54898,1.55134
8/3/2012 0:00,GBPUSD,1.55133,1.56559,1.55035,1.56371
8/6/2012 0:00,GBPUSD,1.56362,1.56645,1.55453,1.55982
8/7/2012 0:00,GBPUSD,1.55978,1.56835,1.55638,1.56211
8/8/2012 0:00,GBPUSD,1.56212,1.56761,1.55718,1.56566
8/9/2012 0:00,GBPUSD,1.56567,1.56845,1.56049,1.5634
8/10/2012 0:00,GBPUSD,1.56343,1.57001,1.55766,1.56873
8/13/2012 0:00,GBPUSD,1.56759,1.57163,1.56565,1.56799
